Cruise_ID1,Cruise_ID2,Cruise_number,leg,cast,Date,Analyzed_by,lon_n,lat_n,lon,lat,year,month,day,depth_bottom,Date_time_local,time_start_local,time_end_local,time_start_UTC,time_end_UTC,Date_time_UTC,sample_number,depth,Tot_Chl_a,Tot_Chl_b,Tot_Chl_c,alpha_beta_Car,alpha_Car,beta_Car,But_fuco,Hex_fuco,Allo,Diadino,Diato,Fuco,Perid,Zea,MV_Chl_a,DV_Chl_a,Chlide_a,Chl_a_allom,Chl_a_prime,MV_Chl_b,DV_Chl_b,Chl_c1,Chl_c2,Chl_c1c2,Chl_c3,Lut,Neo,Viola,Phytin_a,Phide_a,Pras,Anth,Gyro,TChl,PPC,PSC,PSP,Tcar,Tacc,Tpg,DP,Tacc_TChla,PSC_Tcar,PPC_Tcar,TChl_Tcar,PPC_Tpg,PSP_Tpg,TChla_Tpg,mPF,nPF,pPF,Fluor_Chl_a,Fluor_Phaeo,Comments
93HG_124,CAR-124,124,1,4,20060704,Horn Point Laboratory (HPL; Crystal Thomas),-64.67,10.5,-64.6605,10.5059,2006,7,4,1380,2006-07-04T04:58:00,04:58,05:33,08:58,09:33,2006-07-04T08:58:00,C124_1_4_1,1,0.25,nd,nd,0.013,nd,nd,0.005,0.021,-9999.0,0.013,-9999.0,0.056,0.008,0.039,0.228,0.016,0.006,nd,nd,0.017,-9999.0,0.004,0.027,nd,0.018,-9999.0,0.002,0.001,0.003,0.045,-9999.0,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,0.894,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.26,0.19,None
93HG_124,CAR-124,124,1,4,20060704,Horn Point Laboratory (HPL; Crystal Thomas),-64.67,10.5,-64.6605,10.5059,2006,7,4,1380,2006-07-04T04:58:00,04:58,05:33,08:58,09:33,2006-07-04T08:58:00,C124_1_4_3,7,0.267,nd,nd,0.014,nd,nd,0.005,0.019,-9999.0,0.013,0.001,0.057,0.007,0.039,0.247,0.017,0.002,nd,nd,0.017,0.004,0.003,0.025,nd,0.018,-9999.0,-9999.0,0.001,0.003,0.037,-9999.0,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,0.836,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.26,0.19,None
93HG_124,CAR-124,124,1,4,20060704,Horn Point Laboratory (HPL; Crystal Thomas),-64.67,10.5,-64.6605,10.5059,2006,7,4,1380,2006-07-04T04:58:00,04:58,05:33,08:58,09:33,2006-07-04T08:58:00,C124_1_4_5,15,0.244,nd,nd,0.012,nd,nd,0.004,0.017,-9999.0,0.01,-9999.0,0.048,0.009,0.035,0.225,0.016,0.003,nd,nd,0.015,0.003,0.003,0.024,nd,0.015,-9999.0,-9999.0,-9999.0,-9999.0,0.04,-9999.0,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,0.799,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.25,0.18,None
93HG_124,CAR-124,124,1,4,20060704,Horn Point Laboratory (HPL; Crystal Thomas),-64.67,10.5,-64.6605,10.5059,2006,7,4,1380,2006-07-04T04:58:00,04:58,05:33,08:58,09:33,2006-07-04T08:58:00,C124_1_4_7,25,0.197,nd,nd,0.013,nd,nd,0.006,0.022,0.001,0.004,-9999.0,0.01,0.008,0.047,0.129,0.068,-9999.0,nd,nd,0.009,0.012,-9999.0,0.015,nd,0.012,-9999.0,-9999.0,-9999.0,-9999.0,0.003,-9999.0,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,0.813,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.18,0.15,None
93HG_124,CAR-124,124,1,4,20060704,Horn Point Laboratory (HPL; Crystal Thomas),-64.67,10.5,-64.6605,10.5059,2006,7,4,1380,2006-07-04T04:58:00,04:58,05:33,08:58,09:33,2006-07-04T08:58:00,C124_1_4_9,35,0.197,nd,nd,0.013,nd,nd,0.005,0.023,0.001,0.003,-9999.0,0.003,0.008,0.024,0.133,0.065,-9999.0,nd,nd,0.038,0.02,-9999.0,0.014,nd,0.011,-9999.0,-9999.0,-9999.0,0.003,0.005,0.005,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,0.839,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.17,0.25,None
93HG_124,CAR-124,124,1,4,20060704,Horn Point Laboratory (HPL; Crystal Thomas),-64.67,10.5,-64.6605,10.5059,2006,7,4,1380,2006-07-04T04:58:00,04:58,05:33,08:58,09:33,2006-07-04T08:58:00,C124_1_4_10,55,0.072,nd,nd,0.005,nd,nd,0.008,0.019,-9999.0,0.001,-9999.0,0.013,-9999.0,0.002,0.06,0.013,-9999.0,nd,nd,0.007,0.016,-9999.0,0.008,nd,0.012,-9999.0,-9999.0,-9999.0,-9999.0,0.005,0.001,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,1.283,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.09,0.17,None
93HG_124,CAR-124,124,1,4,20060704,Horn Point Laboratory (HPL; Crystal Thomas),-64.67,10.5,-64.6605,10.5059,2006,7,4,1380,2006-07-04T04:58:00,04:58,05:33,08:58,09:33,2006-07-04T08:58:00,C124_1_4_11,75,0.104,nd,nd,0.014,nd,nd,0.009,0.018,-9999.0,0.002,-9999.0,0.007,-9999.0,0.004,0.065,0.038,-9999.0,nd,nd,0.018,0.075,-9999.0,0.009,nd,0.014,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.001,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,1.652,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.08,0.2,None
93HG_124,CAR-124,124,1,4,20060704,Horn Point Laboratory (HPL; Crystal Thomas),-64.67,10.5,-64.6605,10.5059,2006,7,4,1380,2006-07-04T04:58:00,04:58,05:33,08:58,09:33,2006-07-04T08:58:00,C124_1_4_12,100,0.034,nd,nd,0.004,nd,nd,0.003,0.006,-9999.0,0.001,-9999.0,0.005,-9999.0,0.001,0.025,0.009,-9999.0,nd,nd,0.004,0.021,-9999.0,0.004,nd,0.005,-9999.0,-9999.0,-9999.0,0.003,-9999.0,-9999.0,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,1.616,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.03,0.13,None
93HG_125,CAR-125,125,1,4,20060803,Horn Point Laboratory (HPL; Crystal Thomas),-64.67,10.5,-64.6684,10.4995,2006,8,3,1380,2006-08-03T05:23:00,05:23,05:40,09:23,09:40,2006-08-03T09:23:00,C125_1_4_1,1,0.2,nd,nd,0.021,nd,nd,0.003,0.006,-9999.0,0.002,-9999.0,0.005,0.002,0.105,0.158,0.042,-9999.0,nd,nd,0.005,0.006,-9999.0,0.005,nd,0.003,-9999.0,-9999.0,-9999.0,0.003,-9999.0,-9999.0,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,0.82,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.21,0.13,None
93HG_125,CAR-125,125,1,4,20060803,Horn Point Laboratory (HPL; Crystal Thomas),-64.67,10.5,-64.6684,10.4995,2006,8,3,1380,2006-08-03T05:23:00,05:23,05:40,09:23,09:40,2006-08-03T09:23:00,C125_1_4_3,7,0.226,nd,nd,0.024,nd,nd,0.004,0.009,-9999.0,0.002,-9999.0,0.007,-9999.0,0.124,0.184,0.043,-9999.0,nd,nd,0.007,0.006,-9999.0,0.007,nd,0.004,-9999.0,-9999.0,-9999.0,0.004,0.005,-9999.0,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,0.852,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.23,0.15,None
