Cruise_ID1,Cruise_ID2,Cruise_number,leg,cast,Date,Analyzed_by,lon_n,lat_n,lon,lat,year,month,day,depth_bottom,Date_time_local,time_start_local,time_end_local,time_start_UTC,time_end_UTC,Date_time_UTC,sample_number,depth,Tot_Chl_a,Tot_Chl_b,Tot_Chl_c,alpha_beta_Car,alpha_Car,beta_Car,But_fuco,Hex_fuco,Allo,Diadino,Diato,Fuco,Perid,Zea,MV_Chl_a,DV_Chl_a,Chlide_a,Chl_a_allom,Chl_a_prime,MV_Chl_b,DV_Chl_b,Chl_c1,Chl_c2,Chl_c1c2,Chl_c3,Lut,Neo,Viola,Phytin_a,Phide_a,Pras,Anth,Gyro,TChl,PPC,PSC,PSP,Tcar,Tacc,Tpg,DP,Tacc_TChla,PSC_Tcar,PPC_Tcar,TChl_Tcar,PPC_Tpg,PSP_Tpg,TChla_Tpg,mPF,nPF,pPF,Fluor_Chl_a,Fluor_Phaeo,Comments
93HG_031,CAR-031,31,2,4,19980609,MOTE Marine Laboratory & Aquarium (Brad Pedersen),-64.67,10.50,-64.668,10.4996,1998,6,9,1380,1998-06-09T05:34:00,05:34,06:00,09:34,10:00,1998-06-09T09:34:00,C031-2-4-1,2,0.164,-9999.0,-9999.0,nd,0.003,-9999.0,-9999.0,0.009,-9999.0,-9999.0,-9999.0,0.006,-9999.0,0.049,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.21,0.15,None
93HG_031,CAR-031,31,2,4,19980609,MOTE Marine Laboratory & Aquarium (Brad Pedersen),-64.67,10.50,-64.668,10.4996,1998,6,9,1380,1998-06-09T05:34:00,05:34,06:00,09:34,10:00,1998-06-09T09:34:00,C031-2-4-3,7,0.198,0.012,-9999.0,nd,0.002,0.005,-9999.0,0.016,-9999.0,-9999.0,-9999.0,0.01,-9999.0,0.06,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.18,0.15,None
93HG_031,CAR-031,31,2,4,19980609,MOTE Marine Laboratory & Aquarium (Brad Pedersen),-64.67,10.50,-64.668,10.4996,1998,6,9,1380,1998-06-09T05:34:00,05:34,06:00,09:34,10:00,1998-06-09T09:34:00,C031-2-4-5,15,0.242,0.027,-9999.0,nd,0.002,0.004,0.005,0.02,-9999.0,-9999.0,-9999.0,0.011,-9999.0,0.062,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.27,0.19,None
93HG_031,CAR-031,31,2,4,19980609,MOTE Marine Laboratory & Aquarium (Brad Pedersen),-64.67,10.50,-64.668,10.4996,1998,6,9,1380,1998-06-09T05:34:00,05:34,06:00,09:34,10:00,1998-06-09T09:34:00,C031-2-4-7,25,0.366,0.035,-9999.0,nd,0.005,0.008,-9999.0,0.041,-9999.0,-9999.0,-9999.0,0.019,-9999.0,0.062,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.43,0.4,None
93HG_031,CAR-031,31,2,4,19980609,MOTE Marine Laboratory & Aquarium (Brad Pedersen),-64.67,10.50,-64.668,10.4996,1998,6,9,1380,1998-06-09T05:34:00,05:34,06:00,09:34,10:00,1998-06-09T09:34:00,C031-2-4-9,35,1.085,0.305,0.144,nd,0.011,0.01,0.048,0.196,0.014,0.016,-9999.0,0.155,-9999.0,0.055,nd,nd,0.01,nd,nd,nd,nd,nd,nd,0.073,0.07,-9999.0,0.013,-9999.0,nd,nd,0.012,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.55,1.38,None
93HG_031,CAR-031,31,2,4,19980609,MOTE Marine Laboratory & Aquarium (Brad Pedersen),-64.67,10.50,-64.668,10.4996,1998,6,9,1380,1998-06-09T05:34:00,05:34,06:00,09:34,10:00,1998-06-09T09:34:00,C031-2-4-10,55,0.865,0.243,0.065,nd,0.016,0.007,0.054,0.207,0.014,0.012,-9999.0,0.123,-9999.0,0.034,nd,nd,0.013,nd,nd,nd,nd,nd,nd,-9999.0,0.065,-9999.0,0.008,0.005,nd,nd,0.007,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.01,1.12,None
93HG_031,CAR-031,31,2,4,19980609,MOTE Marine Laboratory & Aquarium (Brad Pedersen),-64.67,10.50,-64.668,10.4996,1998,6,9,1380,1998-06-09T05:34:00,05:34,06:00,09:34,10:00,1998-06-09T09:34:00,C031-2-4-11,75,0.308,0.161,0.027,nd,0.009,0.002,0.023,0.072,0.003,0.005,-9999.0,0.049,-9999.0,0.016,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,-9999.0,0.027,-9999.0,-9999.0,-9999.0,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.31,0.74,None
93HG_031,CAR-031,31,2,4,19980609,MOTE Marine Laboratory & Aquarium (Brad Pedersen),-64.67,10.50,-64.668,10.4996,1998,6,9,1380,1998-06-09T05:34:00,05:34,06:00,09:34,10:00,1998-06-09T09:34:00,C031-2-4-12,100,0.061,0.058,-9999.0,nd,0.002,0.001,0.007,0.013,-9999.0,-9999.0,-9999.0,0.007,-9999.0,0.002,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.08,0.04,None
93HG_032,CAR-032,32,2,4,19980709,MOTE Marine Laboratory & Aquarium (Brad Pedersen),-64.67,10.50,-64.667,10.501,1998,7,9,1380,1998-07-09T05:15:00,05:15,05:40,09:15,09:40,1998-07-09T09:15:00,C032-2-4-1,1,0.23,0.007,0.039,nd,-9999.0,-9999.0,-9999.0,0.031,-9999.0,0.011,-9999.0,0.066,-9999.0,0.086,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,0.027,0.013,-9999.0,-9999.0,-9999.0,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.24,0.14,None
93HG_032,CAR-032,32,2,4,19980709,MOTE Marine Laboratory & Aquarium (Brad Pedersen),-64.67,10.50,-64.667,10.501,1998,7,9,1380,1998-07-09T05:15:00,05:15,05:40,09:15,09:40,1998-07-09T09:15:00,C032-2-4-3,8,0.177,0.014,0.031,nd,-9999.0,-9999.0,-9999.0,0.031,-9999.0,0.012,-9999.0,0.063,-9999.0,0.072,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,0.02,0.011,-9999.0,-9999.0,-9999.0,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.29,0.16,None
