Cruise_number,Cruise_ID_1,Cruise_ID_2,Leg,Day,Month,Year,Latitude,Longitude,Hydro_cast_no,Depth_target,Depth_real,O2_ml_L,q_O2_ml_L,O2_umol_kg,q_O2_umol_kg,NO3_UDO,q_NO3_UDO,PO4_UDO,q_PO4_UDO,SiO4_UDO,q_SiO4_UDO,NH4_USF,q_NH4_USF,NO2_USF,q_NO2_USF,NO3_NO2_USF,q_NO3_NO3_USF,PO4_USF,q_PO4_USF,SiO4_USF,q_SiO4_USF,pH,q_pH,Alkalinity_mol_kg,q_Alkalinity_mol_kg,Alkalinity_umol_kg,q_Alkalinity_umol_kg,TCO2,q_TCO2,fCO2,q_fCO2,pH_corrected,q_pH_corrected,TCO2_corrected,q_TCO2_corrected,fCO2_corrected,q_fCO2_corrected,Salinity_bottles,q_Salinity_bottles,Salinity_CTD,q_Salinity_CTD,Temperature,q_Temperature,Sigma_t,q_Sigma_t,TPP,q_TPP,PIP,q_PIP,POC_ug_kg,q_POC_ug_kg,PON_ug_kg,q_PON_ug_kg,POC_ug_L,q_POC_ug_L,PN_ug_L,q_PN_ug_L,C_N_particulate,q_C_N_particulate,DON,q_DON,DOP,q_DOP,DOC,q_DOC,TOC,q_TOC,PrimaryProductivity,q_PrimaryProductivity,Chlorophyll,q_Chlorophyll,Phaeopigments,q_Phaeopigments,Total_Prokaryotes,Bact_Biomass_mgC_m3,Bact_Biomass_uMC,Bio_cast_no,ISO_DateTime_start_hc_local,ISO_DateTime_end_hc_local,ISO_DateTime_start_bc_local,ISO_DateTime_end_bc_local,ISO_DateTime_start_hc_UTC,ISO_DateTime_end_hc_UTC,ISO_DateTime_start_bc_UTC,ISO_DateTime_end_bc_UTC
1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1,1,1.5,4.85,0,211.614,0,0.18,0,0,0,2.4,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,36.576,0,nd,0,27.49,0,23.72,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,134.8,0,nd,0,nd,0,0.0940762,0,0.09,0,BM_master,BM_master,BM_master,2,1995-11-08T06:12:00,1995-11-08T06:38:00,1995-11-08T03:36:00,1995-11-08T03:54:00,1995-11-08T10:12:00,1995-11-08T10:38:00,1995-11-08T07:36:00,1995-11-08T07:54:00
1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1,7,6.5,4.41,0,192.391,0,0.17,0,0,0,2.8,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,0.00240886,0,2408.86,0,nd,0,nd,0,nd,0,nd,0,nd,0,36.577,0,nd,0,27.5,0,23.72,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,88.3,0,nd,0,nd,0,0.0746952,0,0.06,0,BM_master,BM_master,BM_master,2,1995-11-08T06:12:00,1995-11-08T06:38:00,1995-11-08T03:36:00,1995-11-08T03:54:00,1995-11-08T10:12:00,1995-11-08T10:38:00,1995-11-08T07:36:00,1995-11-08T07:54:00
1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1,15,15,4.38,0,191.075,0,0.16,0,0,0,2.2,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,0.00241135,0,2411.35,0,nd,0,nd,0,nd,0,nd,0,nd,0,36.59,0,nd,0,27.49,0,23.76,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,80.7,0,nd,0,nd,0,0.100048,0,0.08,0,BM_master,BM_master,BM_master,2,1995-11-08T06:12:00,1995-11-08T06:38:00,1995-11-08T03:36:00,1995-11-08T03:54:00,1995-11-08T10:12:00,1995-11-08T10:38:00,1995-11-08T07:36:00,1995-11-08T07:54:00
1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1,25,25,4.37,0,190.565,0,0.17,0,0,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,0.00241044,0,2410.44,0,nd,0,nd,0,nd,0,nd,0,nd,0,36.6118,0,nd,0,26.3,0,24.156,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,78.3,0,nd,0,nd,0,0.118014,0,0.14,0,BM_master,BM_master,BM_master,2,1995-11-08T06:12:00,1995-11-08T06:38:00,1995-11-08T03:36:00,1995-11-08T03:54:00,1995-11-08T10:12:00,1995-11-08T10:38:00,1995-11-08T07:36:00,1995-11-08T07:54:00
1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1,35,35,4.27,0,186.131,0,0.85,0,0.01,0,1.9,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,0.00241587,0,2415.87,0,nd,0,nd,0,nd,0,nd,0,nd,0,36.744,0,nd,0,25.32,0,24.563,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,78.2,0,nd,0,nd,0,0.131476,0,0.2,0,BM_master,BM_master,BM_master,2,1995-11-08T06:12:00,1995-11-08T06:38:00,1995-11-08T03:36:00,1995-11-08T03:54:00,1995-11-08T10:12:00,1995-11-08T10:38:00,1995-11-08T07:36:00,1995-11-08T07:54:00
1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1,55,54.5,3.95,0,172.142,0,0.63,0,0.06,0,1.7,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,36.829,0,nd,0,24.75,0,24.8,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,77.7,0,nd,0,nd,0,0.418,0,0.6,0,BM_master,BM_master,BM_master,2,1995-11-08T06:12:00,1995-11-08T06:38:00,1995-11-08T03:36:00,1995-11-08T03:54:00,1995-11-08T10:12:00,1995-11-08T10:38:00,1995-11-08T07:36:00,1995-11-08T07:54:00
1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1,75,74,3.87,0,168.639,0,1.08,0,0.08,0,2.2,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,0.002398,0,2398,0,nd,0,nd,0,nd,0,nd,0,nd,0,36.847,0,nd,0,24.48,0,24.9,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,73,0,nd,0,nd,0,0.16301,0,0.31,0,BM_master,BM_master,BM_master,2,1995-11-08T06:12:00,1995-11-08T06:38:00,1995-11-08T03:36:00,1995-11-08T03:54:00,1995-11-08T10:12:00,1995-11-08T10:38:00,1995-11-08T07:36:00,1995-11-08T07:54:00
1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1,100,97,3.63,0,158.175,0,2.52,0,0.2,0,2.4,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,0.002403,0,2403,0,nd,0,nd,0,nd,0,nd,0,nd,0,36.898,0,nd,0,23.97,0,24.937,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,74,0,nd,0,nd,0,0.0680952,0,0.16,0,BM_master,BM_master,BM_master,2,1995-11-08T06:12:00,1995-11-08T06:38:00,1995-11-08T03:36:00,1995-11-08T03:54:00,1995-11-08T10:12:00,1995-11-08T10:38:00,1995-11-08T07:36:00,1995-11-08T07:54:00
1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,3,150,151.5,1.81,0,78.7749,0,10.69,0,0.96,0,10.7,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,0.00236287,0,2362.87,0,nd,0,nd,0,nd,0,nd,0,nd,0,36.58,0,nd,0,19.27,0,26.17,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,71.1,0,nd,0,nd,0,nd,0,nd,0,BM_master,BM_master,BM_master,nd,1995-11-08T09:19:00,1995-11-08T10:35:00,nd,nd,1995-11-08T13:19:00,1995-11-08T14:35:00,nd,nd
1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,3,200,200,0.45,0,19.582,0,10.57,0,1.5,0,22.1,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,0.00237,0,2370,0,nd,0,nd,0,nd,0,nd,0,nd,0,36.4483,0,nd,0,18.23,0,26.325,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,nd,0,99.7,0,nd,0,nd,0,nd,0,nd,0,BM_master,BM_master,BM_master,nd,1995-11-08T09:19:00,1995-11-08T10:35:00,nd,nd,1995-11-08T13:19:00,1995-11-08T14:35:00,nd,nd
