"","date","Isotherm_21","MLD","sst"
"1",1995-11-08,131,25,27.4844506184771
"2",1995-12-14,115,20,25.4907014530551
"3",1996-01-13,103,39,24.2881754990963
"4",1996-02-14,96,29,23.9971943219593
"5",1996-03-13,49,33,22.6545454545455
"6",1996-04-16,49,38,22.8291818181818
"7",1996-05-09,32,16,22.7827588261392
"8",1996-06-12,82,20,24.9378181818182
"9",1996-07-10,109,14,27.0660909090909
"10",1996-08-06,87,21,25.5787179591754
"11",1996-09-11,126,16,29.01
"12",1996-10-08,109,12,27.2085454545455
"13",1996-11-10,103,14,25.9691818181818
"14",1996-12-09,115,27,26.3848181818182
"15",1997-01-07,64,26,24.0190909090909
"16",1997-02-13,46,28,23.8346363636364
"17",1997-03-12,19,28,21.9488181818182
"18",1997-04-15,32,24,22.9732727272727
"19",1997-05-10,56,15,24.0534545454545
"20",1997-06-17,113,17,25.2455454545455
"21",1997-07-08,84,22,23.9687272727273
"22",1997-08-17,49,13,23.9474545454545
"23",1997-09-17,114,18,28.1030909090909
"24",1997-10-14,124,11,28.3546363636364
"25",1997-11-13,69,18,26.6114545454545
"26",1997-12-17,46,14,24.9695454545455
"27",1998-01-14,91,21,24.8530909090909
"28",1998-02-11,91,23,25.8609090909091
"29",1998-03-12,41,38,22.4525454545455
"30",1998-04-21,88,13,26.1691818181818
"31",1998-06-09,116,18,25.907
"32",1998-07-09,73,14,24.7973636363636
"33",1998-08-05,110,17,28.2147272727273
"34",1998-09-01,118,13,28.3939090909091
"35",1998-10-14,111,13,27.0600909090909
"36",1998-11-10,123,22,27.3634545454545
"37",1998-12-16,110,26,26.9878181818182
"38",1999-01-12,76,22,24.5593636363636
"39",1999-02-10,61,56,22.4185454545455
"40",1999-03-04,55,14,24.4444545454545
"41",1999-04-07,79,21,25.6893636363636
"42",1999-05-06,104,20,25.7581818181818
"43",1999-06-08,81,16,25.862
"44",1999-07-15,93,14,26.3839090909091
"45",1999-08-11,106,14,27.278
"46",1999-09-14,121,13,28.9794545454545
"47",1999-10-05,123,18,28.3134545454545
"48",1999-11-04,115,21,28.4126363636364
"49",1999-12-07,127,40,28.5274545454545
"50",2000-01-11,82,37,25.1794545454545
"51",2000-02-08,44,35,23.5407272727273
"52",2000-03-09,47,15,24.7090909090909
"53",2000-04-10,54,27,24.4201818181818
"54",2000-05-11,29,12,23.589
"55",2000-06-06,93,26,24.9971818181818
"56",2000-07-07,49,23,23.3448181818182
"57",2000-08-09,114,22,28.3132727272727
"58",2000-09-12,112,12,27.4280909090909
"59",2000-10-10,125,14,27.1782727272727
"60",2000-11-03,112,12,28.0106363636364
"61",2000-12-05,82,27,25.14
"62",2001-01-11,92,31,23.7501818181818
"63",2001-02-16,47,49,21.8344545454545
"64",2001-03-14,26,36,21.6531818181818
"65",2001-04-04,49,33,24.0691818181818
"66",2001-05-05,82,23,25.2108181818182
"67",2001-06-10,68,31,24.783
"68",2001-07-10,57,13,24.9466363636364
"69",2001-08-07,99,21,27.9741818181818
"70",2001-09-11,123,19,26.5209090909091
"71",2001-10-09,119,16,26.3809090909091
"72",2001-11-06,123,22,27.8703636363636
"73",2001-12-11,116,20,27.0759090909091
"74",2002-01-10,123,37,24.7803636363636
"75",2002-02-14,71,56,22.9148181818182
"76",2002-03-12,35,22,22.9224545454545
"77",2002-04-02,50,15,24.2310909090909
"78",2002-05-07,112,28,26.1789090909091
"79",2002-06-12,111,17,26.4506363636364
"80",2002-07-09,55,61,23.2256363636364
"81",2002-08-06,90,21,27.2705454545455
"82",2002-10-03,123,15,28.3549090909091
"83",2002-11-07,113,21,26.5719090909091
"84",2002-12-05,99,19,24.2619090909091
"85",2003-01-14,57,29,23.6266363636364
"86",2003-02-11,72,25,23.6437272727273
"87",2003-03-11,44,41,22.4810273826194
"88",2003-04-08,97,27,25.168729983948
"89",2003-05-13,78,29,24.3345954437552
"90",2003-06-10,107,12,25.4202441681689
"91",2003-07-08,86,17,25.3176752213806
"92",2003-08-05,89,12,26.1165729657817
"93",2003-09-10,127,18,27.1135511178167
"94",2003-11-11,134,25,28.6776071381533
"95",2003-12-09,121,24,27.6635656834046
"96",2004-01-13,83,38,25.0624238070859
"97",2004-02-10,112,31,24.217480948345
"98",2004-03-09,101,34,24.6071933061119
"99",2004-04-06,88,20,25.4544409572277
"100",2004-05-13,108,22,23.9219153267504
"101",2004-06-08,112,16,25.5543108952938
"102",2004-07-07,61,16,25.718173948307
"103",2004-08-10,108,14,24.7967269030096
"104",2004-09-07,121,22,27.7931335025519
"105",2004-10-05,135,16,28.7464537758791
"106",2004-11-09,128,15,28.42907212575
"107",2004-12-07,80,31,25.9673395930727
"108",2005-01-11,85,27,25.3519654394995
"109",2005-02-09,111,22,26.3041789689235
"110",2005-03-09,73,27,25.891475301076
"111",2005-04-05,61,36,23.2440677915419
"112",2005-05-10,119,17,27.5315583979646
"113",2005-06-14,108,15,28.8448603742455
"114",2005-07-12,115,23,27.0900121693495
"115",2005-08-09,63,12,26.088095629084
"116",2005-10-04,133,27,29.2260266448123
"117",2005-12-14,98,20,26.8050466737872
"118",2006-01-12,86,24,24.3605074207513
"119",2006-02-07,55,31,23.5411829344298
"120",2006-03-16,70,19,24.4901705780811
"121",2006-04-04,48,16,23.3888724284577
"122",2006-05-10,93,17,27.4451882611678
"123",2006-06-06,110,17,25.8161653693272
"124",2006-07-04,109,16,25.8230833878231
"125",2006-08-03,72,12,26.3002231892201
"126",2006-09-12,115,15,27.8819031517162
"127",2006-10-10,104,15,26.2926792876881
"128",2006-11-02,125,22,28.5681989135279
"129",2006-12-05,128,24,27.0771630723621
"130",2007-02-06,43,23,23.1182272707525
"131",2007-03-06,36,13,23.5626934134983
"132",2007-04-10,39,19,24.0700449462708
"133",2007-05-08,70,21,25.8317900002635
"134",2007-06-05,127,21,27.8116255869665
"135",2007-07-03,71,13,25.8075745595894
"136",2007-08-07,113,20,28.4828174254559
"137",2007-09-04,123,16,28.7681559089202
"138",2007-10-09,120,12,28.8583525036521
"139",2007-11-30,101,19,27.1053132041752
"140",2007-12-11,118,14,27.6727443127257
"141",2008-01-10,83,19,25.7132764904251
"142",2008-02-12,76,27,24.6589636379978
"143",2008-03-11,48,26,23.3716980880793
"144",2008-04-08,39,26,23.4624962051323
"145",2008-05-06,88,21,26.0300533227588
"146",2008-06-04,116,15,27.5148932389316
"147",2008-07-08,71,15,25.2053591938457
"148",2008-08-05,107,17,26.2819788621686
"149",2008-09-10,126,16,29.2514920724204
"150",2008-10-10,133,14,29.7001793561556
"151",2008-11-11,124,23,27.3391293291432
"152",2008-12-10,123,28,26.5727556141068
"153",2009-01-13,80,32,24.9466750425082
"154",2009-02-10,105,28,24.0985451357054
"155",2009-03-03,65,19,24.1635668236338
"156",2009-04-07,58,20,24.3224979441241
"157",2009-05-08,46,19,23.9530278554456
"158",2009-06-02,40,19,24.219080127683
"159",2009-07-14,111,18,26.2100097069695
"160",2009-08-11,80,14,26.8124844899545
"161",2009-09-15,118,21,27.5934474600786
"162",2009-10-06,116,18,26.933738062774
"163",2009-11-10,131,21,28.2041887165419
"164",2009-12-08,110,37,25.5994433572156
"165",2010-01-07,102,29,25.3162925945898
"166",2010-02-09,27,25,22.876930617981
"167",2010-03-09,104,21,27.3925903249095
"168",2010-04-07,96,23,26.0749312940588
"169",2010-05-11,115,24,25.4094867037096
"170",2010-06-08,112,24,28.5990809970808
"171",2010-08-04,123,12,27.1091179632293
"172",2010-09-15,120,19,29.5025117030039
"173",2010-10-04,129,25,29.6345659602222
"174",2010-11-09,145,27,29.6808291796828
"175",2010-12-08,106,22,27.9735080660643
"176",2011-01-11,114,14,25.7198455687492
"177",2011-02-08,55,38,24.0714872534432
"178",2011-03-15,59,24,25.4054889945712
"179",2011-04-12,33,19,23.9462756174159
"180",2011-05-10,94,16,26.3454560996384
"181",2011-06-09,125,15,28.7592409602174
"182",2011-07-07,109,13,25.9855220210061
"183",2011-08-09,129,14,27.5959269956228
"184",2011-09-06,126,12,28.7008026171369
"185",2011-10-04,123,15,27.5824761627975
"186",2012-01-10,87,17,25.1182761528831
"187",2012-02-07,53,42,22.6662710566848
"188",2012-03-16,27,32,21.8323752206329
"189",2012-04-10,32,11,24.2787177354278
"190",2012-05-15,118,34,27.0345596160507
"191",2012-07-26,89,15,26.3963175206964
"192",2012-08-14,91,15,27.9659926407975
"193",2012-09-10,116,14,26.9930477905963
"194",2012-10-10,123,15,27.9056961117222
"195",2012-11-08,121,18,28.6380382430218
"196",2012-11-18,113,21,28.2797174077364
"197",2012-12-03,116,23,26.7076351074554
"198",2013-03-05,47,17,24.3518078649604
"199",2013-04-09,74,27,24.0762493503718
