"time_month","MF_N_mmol_225m","MF_N_mmol_410m","MF_N_mmol_810m","MF_N_mmol_1210m","MF_N_mmol_152m","MF_Corg_mmol_225m","MF_Corg_mmol_410m","MF_Corg_mmol_810m","MF_Corg_mmol_1210m","MF_Corg_mmol_152m","CN_ratio_225m","CN_ratio_410m","CN_ratio_810m","CN_ratio_1210m","CN_ratio_152m","n_samples_225m","n_samples_410m","n_samples_810m","n_samples_1210m","n_samples_152m"
"01-1996",0.571142999928607,0.547345374931582,0.285571499964304,0.142785749982152,NA,4.69014514472844,4.30161241084561,2.13693003635556,1.137845863514,NA,8.28960328032637,7.8134127050204,8.01749438015153,7.48299475480809,NA,1,1,1,1,NA
"01-1997",0.40455962494943,0.285571499964304,0.309369124961329,0.237976249970253,NA,3.08050953292815,2.08142536008659,2.35894874143147,1.8316543168762,NA,7.60794271917409,7.25623733799573,7.76158243832043,7.68383703827048,NA,1,1,1,1,NA
"01-1998",0.380761999952405,0.571142999928607,0.40455962494943,0.40455962494943,NA,2.94174784225571,4.57913579219049,3.16376654733161,3.30252823800405,NA,7.24975855465823,7.95947982026577,7.79181676056208,8.22805483862015,NA,1,1,1,1,NA
"01-1999",0.261773874967278,0.380761999952405,0.40455962494943,0.261773874967278,NA,1.97041600754864,2.94174784225571,2.9695001803902,1.88715899314517,NA,7.48947353814559,8.1503094385702,7.1737800955185,7.32102517137069,NA,1,1,1,1,NA
"01-2000",0.499750124937531,0.606839437424145,0.606839437424145,0.535446562433069,NA,4.28773624177837,5.07867787861127,4.99542086420781,4.66239280659396,NA,8.57628944301057,8.37382746371382,8.23615331779203,8.81114533899481,NA,1,1,1,1,NA
"01-2001",0.499750124937531,0.821018062397373,0.535446562433069,0.464053687441993,NA,4.16285072017318,7.20173174589959,4.4542502705853,4.03796519856798,NA,8.32986429106652,8.71543603969089,8.22805483862015,8.71859129131629,NA,1,1,1,1,NA
"01-2002",0.606839437424145,0.428357249946455,0.249875062468766,0.17848218747769,NA,4.87053534260262,3.08050953292815,1.8316543168762,1.58188327366581,NA,8.06608525518275,7.19144950462076,7.40524935475814,9.47522063108817,NA,1,1,1,1,NA
"01-2003",0.737726374907784,0.666333499916708,0.35696437495538,0.35696437495538,NA,5.91124802264591,5.41170593622513,3.02500485665917,2.94174784225571,NA,7.95063001365557,8.10218133377737,8.43861529708878,7.81156162406683,NA,1,1,1,1,NA
"01-2004",0.892410937388449,0.678232312415221,NA,0.249875062468766,0.499750124937531,7.11847473149613,5.53659145783032,NA,1.99816834568312,3.58005161934893,7.93246034884689,8.05914370160686,NA,7.87172175505786,7.16368329031721,1,1,0,1,1
"01-2005",1.28507174983937,0.17848218747769,0.464053687441993,0.464053687441993,0.35696437495538,10.3654982932312,2.16468237449005,4.3293647489801,4.3293647489801,2.53933893930564,8.06851479893431,14.1399446340854,9.46550245608192,9.73761135625676,7.19144950462077,1,1,1,1,1
"01-2006",0.942385949882202,1.04233597486971,0.628257299921468,0.599700149925038,0.499750124937531,8.45891266339189,8.6753809008409,5.66147697943552,5.12863208725335,3.61335442511032,9.01013654150362,8.30823931004423,9.18784031304637,8.27539979377878,7.22224476048471,1,1,1,1,1
"01-2007",0.475952499940506,0.475952499940506,0.309369124961329,0.190380999976202,1.85621474976797,4.07959370576971,4.13509838203869,2.58096744650737,1.55413093553132,14.2091971248578,8.63297879721367,8.63837778332825,8.48720617212,8.35763050537008,7.880556459609,1,1,1,1,1
"01-2008",0.892410937388449,0.999500249875062,0.642535874919683,0.642535874919683,0.249875062468766,6.66056115227708,7.95104487553076,5.07867787861127,4.49587877778703,1.91491133127966,7.34008041648097,7.94946715510782,7.91545354258596,6.99708600449588,7.6634751477812,1,1,1,1,1
"01-2009",0.642535874919683,0.785321624901835,NA,NA,0.249875062468766,4.74564982099742,6.41079010906669,NA,NA,1.99816834568312,7.40973466629948,8.16326700524519,NA,NA,8.11467613021397,1,1,0,0,1
"01-2010",0.321267937459842,0.963803812379525,0.678232312415221,0.321267937459842,0.499750124937531,2.78910998251603,7.61801681791691,5.41170593622513,2.33119640329698,3.12213804012988,8.74635750561985,7.99430328070481,8.06387657904497,6.99708600449588,6.24739821829989,1,1,1,1,1
"02-1996",0.856714499892911,1.14228599985721,0.464053687441993,0.249875062468766,NA,7.16010323869786,9.28315710598618,3.70493714095413,2.03979685288486,NA,8.4183690991591,8.26398263712809,7.87172175505786,8.33819415535759,NA,1,1,1,1,NA
"02-1997",0.928107374883987,0.571142999928607,0.392660812450917,0.321267937459842,NA,7.65964532511864,4.74564982099742,3.37190908334027,2.45608192490217,NA,8.25297323607206,8.25582105292371,8.61030305553243,7.66764007992673,NA,1,1,1,1,NA
"02-1998",0.392660812450917,0.17848218747769,0.142785749982152,0.142785749982152,NA,2.87236699691949,1.33211223045542,0.95745566563983,1.12396969444676,NA,7.33722212971443,7.77454000499542,6.70554075430855,7.87172175505786,NA,1,1,1,1,NA
"02-1999",0.142785749982152,0.285571499964304,0.249875062468766,0.17848218747769,NA,0.95745566563983,2.24793938889351,1.91491133127966,1.24885521605195,NA,6.70554075430855,7.87172175505786,7.77454000499542,6.80272250437099,NA,1,1,1,1,NA
"02-2000",1.53494681230813,1.0351966873706,0.785321624901835,0.428357249946455,NA,11.9890100740987,8.65872949796021,6.70218965947881,3.58005161934893,NA,7.75140149307579,8.39957210276545,8.57691240294687,8.35763050537008,NA,1,1,1,1,NA
"02-2001",1.21367887484829,1.60633968729921,0.785321624901835,0.678232312415221,NA,11.322953958871,14.6532345350096,7.0768462242944,6.61893264507535,NA,9.32944800599451,9.06913974689868,8.50340313046374,9.74247044375989,NA,1,1,1,1,NA
