area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Venezuela",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,17.0000000010,19656.44375015626
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,85.0000000025,98282.21874789066
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Venezuela",Artisanal,Landings,Reported,small scale lines,Direct human consumption,85.0000000025,98282.21874789066
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Venezuela",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,85.0000000025,98282.21874789066
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Venezuela",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,85.0000000025,98282.21874789066
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Venezuela",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,114.9964559910,192926.02474487343
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,1768.1945953111,2966445.8031249633
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Fishmeal and fish oil,0.8849822799,0.01392029514291881
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Other,0.8849822799,0.01392029514291881
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Venezuela",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,1768.1945953111,2966445.8031249633
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Venezuela",Artisanal,Landings,Unreported,small scale gillnets,Fishmeal and fish oil,0.8849822799,0.01392029514291881
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Elasmobranchii","Sharks, rays, skates","Large sharks (>=90 cm)","Sharks & rays","Venezuela",Artisanal,Landings,Unreported,small scale gillnets,Other,0.8849822799,0.01392029514291881
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Batoidea","Batoids, skates, rays, sawfishes","Large rays (>=90 cm)","Sharks & rays","Venezuela",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,61.6376247830,9.677803287902924
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Batoidea","Batoids, skates, rays, sawfishes","Large rays (>=90 cm)","Sharks & rays","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,474.5250000285,74.50578476434542
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Batoidea","Batoids, skates, rays, sawfishes","Large rays (>=90 cm)","Sharks & rays","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Fishmeal and fish oil,0.2375000000,0.0037357472252241447
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Batoidea","Batoids, skates, rays, sawfishes","Large rays (>=90 cm)","Sharks & rays","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Other,0.2375000000,0.0037357472252241447
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Batoidea","Batoids, skates, rays, sawfishes","Large rays (>=90 cm)","Sharks & rays","Venezuela",Artisanal,Landings,Reported,small scale lines,Direct human consumption,24.9750000015,3.9213570928602812
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Batoidea","Batoids, skates, rays, sawfishes","Large rays (>=90 cm)","Sharks & rays","Venezuela",Artisanal,Landings,Reported,small scale lines,Fishmeal and fish oil,0.0125000000,0.00019661827501179707
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Batoidea","Batoids, skates, rays, sawfishes","Large rays (>=90 cm)","Sharks & rays","Venezuela",Artisanal,Landings,Reported,small scale lines,Other,0.0125000000,0.00019661827501179707
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Batoidea","Batoids, skates, rays, sawfishes","Large rays (>=90 cm)","Sharks & rays","Venezuela",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,474.5250000285,74.50578476434542
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Batoidea","Batoids, skates, rays, sawfishes","Large rays (>=90 cm)","Sharks & rays","Venezuela",Artisanal,Landings,Unreported,small scale gillnets,Fishmeal and fish oil,0.2375000000,0.0037357472252241447
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Batoidea","Batoids, skates, rays, sawfishes","Large rays (>=90 cm)","Sharks & rays","Venezuela",Artisanal,Landings,Unreported,small scale gillnets,Other,0.2375000000,0.0037357472252241447
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Batoidea","Batoids, skates, rays, sawfishes","Large rays (>=90 cm)","Sharks & rays","Venezuela",Artisanal,Landings,Unreported,small scale lines,Direct human consumption,24.9750000015,3.9213570928602812
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Batoidea","Batoids, skates, rays, sawfishes","Large rays (>=90 cm)","Sharks & rays","Venezuela",Artisanal,Landings,Unreported,small scale lines,Fishmeal and fish oil,0.0125000000,0.00019661827501179707
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Batoidea","Batoids, skates, rays, sawfishes","Large rays (>=90 cm)","Sharks & rays","Venezuela",Artisanal,Landings,Unreported,small scale lines,Other,0.0125000000,0.00019661827501179707
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Serranidae","Basses, groupers, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale longline,Direct human consumption,998.9999999900,2525480.0748917456
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Serranidae","Basses, groupers, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale longline,Fishmeal and fish oil,0.5000000000,0.007864730999921353
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Serranidae","Basses, groupers, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale longline,Other,0.5000000000,0.007864730999921353
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Serranidae","Basses, groupers, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale longline,Direct human consumption,499.4999999371,1262740.0372993948
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Serranidae","Basses, groupers, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale longline,Fishmeal and fish oil,0.2500000000,0.003932365499504522
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Serranidae","Basses, groupers, hinds","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale longline,Other,0.2500000000,0.003932365499504522
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,200.0000000300,352496.0270528744
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,999.0000001499,1760717.6551291076
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Fishmeal and fish oil,0.5000000001,2.8174890254226232
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Other,0.5000000001,2.8174890254226232
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,999.0000001499,1760717.6551291076
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale pots or traps,Fishmeal and fish oil,0.5000000001,2.8174890254226232
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale pots or traps,Other,0.5000000001,2.8174890254226232
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,999.0000001499,1760717.6551291076
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale gillnets,Fishmeal and fish oil,0.5000000001,2.8174890254226232
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale gillnets,Other,0.5000000001,2.8174890254226232
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,999.0000001499,1760717.6551291076
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale pots or traps,Fishmeal and fish oil,0.5000000001,2.8174890254226232
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Haemulidae","Grunts, sweetlips, bonnetmouths","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale pots or traps,Other,0.5000000001,2.8174890254226232
"Venezuela",eez,Reconstructed domestic catch,3,1950,"Penaeidae","Commercial shrimps and prawns","Shrimps","Crustaceans","Venezuela",Industrial,Landings,Reported,bottom trawl,Direct human consumption,699.3000000000,1457946.4609331999
"Venezuela",eez,Reconstructed domestic catch,3,1950,"Penaeidae","Commercial shrimps and prawns","Shrimps","Crustaceans","Venezuela",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.3500000000,1.3551127533999998
"Venezuela",eez,Reconstructed domestic catch,3,1950,"Penaeidae","Commercial shrimps and prawns","Shrimps","Crustaceans","Venezuela",Industrial,Landings,Reported,bottom trawl,Other,0.3500000000,1.3551127533999998
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Mugil","Grey mullets","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,440.8835508800,1083454.5370010987
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Mugil","Grey mullets","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,1998.0000001499,4910008.91453025
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Mugil","Grey mullets","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale seine nets,Fishmeal and fish oil,1.0000000001,0.01572946200117971
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Mugil","Grey mullets","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale seine nets,Other,1.0000000001,0.01572946200117971
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Mugil","Grey mullets","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,1998.0000001499,4910008.91453025
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Mugil","Grey mullets","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Fishmeal and fish oil,1.0000000001,0.01572946200117971
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Mugil","Grey mullets","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Other,1.0000000001,0.01572946200117971
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Mugil","Grey mullets","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale seine nets,Direct human consumption,1998.0000001499,4910008.91453025
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Mugil","Grey mullets","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale seine nets,Fishmeal and fish oil,1.0000000001,0.01572946200117971
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Mugil","Grey mullets","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale seine nets,Other,1.0000000001,0.01572946200117971
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Mugil","Grey mullets","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,1998.0000001499,4910008.91453025
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Mugil","Grey mullets","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale gillnets,Fishmeal and fish oil,1.0000000001,0.01572946200117971
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Mugil","Grey mullets","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale gillnets,Other,1.0000000001,0.01572946200117971
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale hand lines,Direct human consumption,411.7134608636,1720321.6830827352
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale hand lines,Fishmeal and fish oil,0.2060627932,0.003241256875646495
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale hand lines,Other,0.2060627932,0.003241256875646495
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale hand lines,Direct human consumption,205.8567304368,860160.841562239
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale hand lines,Fishmeal and fish oil,0.1030313966,0.0016206284378625711
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale hand lines,Other,0.1030313966,0.0016206284378625711
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Centropomus","Fat snooks","Medium benthopelagics (30 - 89 cm)","Perch-likes","Venezuela",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,126.8934086100,396660.51475858776
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Centropomus","Fat snooks","Medium benthopelagics (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,999.0000000000,3122808.809256
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Centropomus","Fat snooks","Medium benthopelagics (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Fishmeal and fish oil,0.5000000000,0.007864731
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Centropomus","Fat snooks","Medium benthopelagics (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Other,0.5000000000,0.007864731
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Centropomus","Fat snooks","Medium benthopelagics (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,999.0000000000,3122808.809256
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Centropomus","Fat snooks","Medium benthopelagics (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale gillnets,Fishmeal and fish oil,0.5000000000,0.007864731
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Centropomus","Fat snooks","Medium benthopelagics (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Unreported,small scale gillnets,Other,0.5000000000,0.007864731
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Cynoscion","Weakfishes","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,296.6120008270,962845.1713034967
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Cynoscion","Weakfishes","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,2922.2148034776,9485929.110066758
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Cynoscion","Weakfishes","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Fishmeal and fish oil,1.4625699717,0.023005438792361384
"Venezuela",eez,Reconstructed domestic catch,1,1950,"Cynoscion","Weakfishes","Medium demersals (30 - 89 cm)","Perch-likes","Venezuela",Artisanal,Landings,Reported,small scale gillnets,Other,1.4625699717,0.023005438792361384
