"year","sardinelandings"
1950,16999.9917855091
1951,15999.9922675351
1952,12999.993713623
1953,12399.994004846
1954,8399.99593996
1955,17499.9915444959
1956,13699.993382208
1957,27299.9868046
1958,30399.9853083001
1959,31999.9845351101
1960,30599.9852079401
1961,27899.98651341
1962,36699.9822655201
1963,39199.9810505101
1964,42099.9796545701
1965,43799.9788311001
1966,39099.9811006899
1967,39999.9806688599
1968,36799.9822153401
1969,36999.9821148799
1970,41399.97998603
1971,44299.9785901001
1972,45399.9780579101
1973,47499.97704362
1974,22834.9889657001
1975,47607.97699103
1976,36732.9822430899
1977,35751.9827218899
1978,26152.9873585201
1979,37046.98209324
1980,51763.97497578
1981,27973.98647605
1982,52520.9746146699
1983,41077.9801482899
1984,48454.1
1985,53795.527
1986,79893.555
1987,82758.355
1988,59275.098
1989,69190.8014
1990,56949.1412
1991,75181.65
1992,80078.696
1993,85751.776
1994,112540.5246
1995,153036.0384
1996,152501.779
1997,140570.44703729
1998,186166.3772
1999,123533.712
2000,73533.5293
2001,112378.5159
2002,158141.3558
2003,150499.9998
2004,200231.7135
2005,108569.9996
2006,63426.139
2007,54995.8206
2008,36155.5222
2009,48270.5202
2010,36575.2982
2011,34753
2012,41905
2013,46000
2014,50207
2015,79243
2016,122646
2017,126400
2018,126400
2019,126400
