Cruise_ID1,Cruise_ID2,Cruise_number,leg,cast,Date,Analyzed_by,lon_n,lat_n,lon,lat,year,month,day,depth_bottom,Date_time_local,time_start_local,time_end_local,time_start_UTC,time_end_UTC,Date_time_UTC,sample_number,depth,Tot_Chl_a,Tot_Chl_b,Tot_Chl_c,alpha_beta_Car,alpha_Car,beta_Car,But_fuco,Hex_fuco,Allo,Diadino,Diato,Fuco,Perid,Zea,MV_Chl_a,DV_Chl_a,Chlide_a,Chl_a_allom,Chl_a_prime,MV_Chl_b,DV_Chl_b,Chl_c1,Chl_c2,Chl_c1c2,Chl_c3,Lut,Neo,Viola,Phytin_a,Phide_a,Pras,Anth,Gyro,TChl,PPC,PSC,PSP,Tcar,Tacc,Tpg,DP,Tacc_TChla,PSC_Tcar,PPC_Tcar,TChl_Tcar,PPC_Tpg,PSP_Tpg,TChla_Tpg,mPF,nPF,pPF,Fluor_Chl_a,Fluor_Phaeo,Comments
93HG_002,CAR-002,2,1,2,19951213,Bermuda biological Research Station (Cathy Rathburn),-64.67,10.50,-64.658,10.491,1995,12,13,1380,1995-12-13T04:11:00,04:11,04:50,08:11,08:50,1995-12-13T08:11:00,C002-1-2-1,1,0.107,0.018,nd,nd,-9999.0,0.001,0.002,0.008,-9999.0,0.003,-9999.0,0.008,0.005,0.004,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,0.004,-9999.0,-9999.0,nd,nd,nd,nd,0.003,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.12,0.08,The samples thawed in transport and threrefore the data may not be reliable (although it does not look too bad).
93HG_002,CAR-002,2,1,2,19951213,Bermuda biological Research Station (Cathy Rathburn),-64.67,10.50,-64.658,10.491,1995,12,13,1380,1995-12-13T04:11:00,04:11,04:50,08:11,08:50,1995-12-13T08:11:00,C002-1-2-3,7,0.139,0.025,nd,nd,0.001,0.002,0.002,0.01,0.001,0.003,-9999.0,0.009,0.006,0.008,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,0.002,-9999.0,-9999.0,nd,nd,nd,nd,0.004,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.15,0.11,The samples thawed in transport and threrefore the data may not be reliable (although it does not look too bad).
93HG_002,CAR-002,2,1,2,19951213,Bermuda biological Research Station (Cathy Rathburn),-64.67,10.50,-64.658,10.491,1995,12,13,1380,1995-12-13T04:11:00,04:11,04:50,08:11,08:50,1995-12-13T08:11:00,C002-1-2-5,15,0.163,0.032,nd,nd,0.001,0.002,0.003,0.011,0.001,0.003,-9999.0,0.008,0.01,0.008,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,0.004,-9999.0,-9999.0,nd,nd,nd,nd,0.003,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.18,0.14,The samples thawed in transport and threrefore the data may not be reliable (although it does not look too bad).
93HG_002,CAR-002,2,1,2,19951213,Bermuda biological Research Station (Cathy Rathburn),-64.67,10.50,-64.658,10.491,1995,12,13,1380,1995-12-13T04:11:00,04:11,04:50,08:11,08:50,1995-12-13T08:11:00,C002-1-2-7,25,0.408,0.141,nd,nd,0.014,0.003,0.021,0.086,0.006,0.006,-9999.0,0.065,0.008,0.024,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,0.021,0.014,-9999.0,nd,nd,nd,nd,0.015,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.38,0.42,The samples thawed in transport and threrefore the data may not be reliable (although it does not look too bad).
93HG_002,CAR-002,2,1,2,19951213,Bermuda biological Research Station (Cathy Rathburn),-64.67,10.50,-64.658,10.491,1995,12,13,1380,1995-12-13T04:11:00,04:11,04:50,08:11,08:50,1995-12-13T08:11:00,C002-1-2-9,35,0.241,0.107,nd,nd,0.019,0.003,0.01,0.042,0.002,0.004,-9999.0,0.034,0.009,0.012,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,0.011,0.006,-9999.0,nd,nd,nd,nd,0.002,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.1,0.2,The samples thawed in transport and threrefore the data may not be reliable (although it does not look too bad).
93HG_002,CAR-002,2,1,2,19951213,Bermuda biological Research Station (Cathy Rathburn),-64.67,10.50,-64.658,10.491,1995,12,13,1380,1995-12-13T04:11:00,04:11,04:50,08:11,08:50,1995-12-13T08:11:00,C002-1-2-10,55,0.088,0.053,nd,nd,0.009,-9999.0,0.003,0.011,-9999.0,0.001,-9999.0,0.009,-9999.0,0.005,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,0.002,0.001,-9999.0,nd,nd,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.1,0.2,The samples thawed in transport and threrefore the data may not be reliable (although it does not look too bad).
93HG_002,CAR-002,2,1,2,19951213,Bermuda biological Research Station (Cathy Rathburn),-64.67,10.50,-64.658,10.491,1995,12,13,1380,1995-12-13T04:11:00,04:11,04:50,08:11,08:50,1995-12-13T08:11:00,C002-1-2-11,75,0.051,0.032,nd,nd,0.004,-9999.0,0.004,0.013,-9999.0,0.001,-9999.0,0.007,0.002,0.004,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,0.001,-9999.0,-9999.0,nd,nd,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.04,0.1,The samples thawed in transport and threrefore the data may not be reliable (although it does not look too bad).
93HG_002,CAR-002,2,1,2,19951213,Bermuda biological Research Station (Cathy Rathburn),-64.67,10.50,-64.658,10.491,1995,12,13,1380,1995-12-13T04:11:00,04:11,04:50,08:11,08:50,1995-12-13T08:11:00,C002-1-2-12,100,0.014,0.005,nd,nd,0.001,-9999.0,-9999.0,0.003,-9999.0,-9999.0,-9999.0,0.002,-9999.0,0.001,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,-9999.0,-9999.0,-9999.0,nd,nd,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.01,0.04,The samples thawed in transport and threrefore the data may not be reliable (although it does not look too bad).
93HG_003,CAR-003,3,1,3,19960112,Bermuda biological Research Station (Cathy Rathburn),-64.67,10.50,-64.671,10.489,1996,1,12,1380,1996-01-12T04:35:00,04:35,04:49,08:35,08:49,1996-01-12T08:35:00,C003-1-3-1,1,1.145,0.087,nd,nd,0.011,0.016,0.002,0.034,0.004,0.032,-9999.0,0.694,0.08,0.008,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.211,0.073,-9999.0,nd,nd,nd,nd,0.011,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.4,0.69,The samples thawed in transport and threrefore the data may not be reliable (although it does not look too bad).
93HG_003,CAR-003,3,1,3,19960112,Bermuda biological Research Station (Cathy Rathburn),-64.67,10.50,-64.671,10.489,1996,1,12,1380,1996-01-12T04:35:00,04:35,04:49,08:35,08:49,1996-01-12T08:35:00,C003-1-3-3,7,0.997,0.084,nd,nd,0.016,0.017,0.016,0.032,0.005,0.033,-9999.0,0.599,0.164,0.008,nd,nd,-9999.0,nd,nd,nd,nd,nd,nd,0.201,0.066,-9999.0,nd,nd,nd,nd,0.009,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,1.37,0.66,The samples thawed in transport and threrefore the data may not be reliable (although it does not look too bad).
