Cruise_ID1,Cruise_ID2,Cruise_number,leg,cast,Date,Analyzed_by,lon_n,lat_n,lon,lat,year,month,day,depth_bottom,Date_time_local,time_start_local,time_end_local,time_start_UTC,time_end_UTC,Date_time_UTC,sample_number,depth,Tot_Chl_a,Tot_Chl_b,Tot_Chl_c,alpha_beta_Car,alpha_Car,beta_Car,But_fuco,Hex_fuco,Allo,Diadino,Diato,Fuco,Perid,Zea,MV_Chl_a,DV_Chl_a,Chlide_a,Chl_a_allom,Chl_a_prime,MV_Chl_b,DV_Chl_b,Chl_c1,Chl_c2,Chl_c1c2,Chl_c3,Lut,Neo,Viola,Phytin_a,Phide_a,Pras,Anth,Gyro,TChl,PPC,PSC,PSP,Tcar,Tacc,Tpg,DP,Tacc_TChla,PSC_Tcar,PPC_Tcar,TChl_Tcar,PPC_Tpg,PSP_Tpg,TChla_Tpg,mPF,nPF,pPF,Fluor_Chl_a,Fluor_Phaeo,Comments
93HG_176,CAR-176,176,2,4,20110111,NASA Goddard Space Flight Center (GSFC; Crystal Thomas),-64.67,10.50,-64.4075,10.2972,2011,1,11,1380,2011-01-11T04:30:00,04:30,04:52,08:59,09:21,2011-01-11T09:00:00,C176_2_4_1,1,0.981,0.03,0.244,0.027,nd,nd,0.011,0.048,0.003,0.033,-9999.0,0.427,0.007,0.015,0.925,0.006,0.05,nd,nd,0.03,-9999.0,nd,nd,0.143,0.101,-9999.0,-9999.0,-9999.0,0.016,0.082,0.007,nd,-9999.0,1.255,0.078,0.493,1.748,0.571,0.845,1.826,0.541,0.86,0.86,0.14,2.2,0.04,0.96,0.54,nd,nd,nd,0.95,0.59,None
93HG_176,CAR-176,176,2,4,20110111,NASA Goddard Space Flight Center (GSFC; Crystal Thomas),-64.67,10.50,-64.4075,10.2972,2011,1,11,1380,2011-01-11T04:30:00,04:30,04:52,08:59,09:21,2011-01-11T09:00:00,C176_2_4_1,1,1.069,0.034,0.268,0.029,nd,nd,0.013,0.052,0.004,0.037,-9999.0,0.465,0.008,0.014,1.04,0.007,0.022,nd,nd,0.034,-9999.0,nd,nd,0.156,0.112,-9999.0,-9999.0,-9999.0,0.016,0.071,0.007,nd,-9999.0,1.371,0.084,0.538,1.909,0.622,0.924,1.993,0.59,0.86,0.86,0.14,2.2,0.04,0.96,0.54,nd,nd,nd,0.95,0.59,None
93HG_176,CAR-176,176,2,4,20110111,NASA Goddard Space Flight Center (GSFC; Crystal Thomas),-64.67,10.50,-64.4075,10.2972,2011,1,11,1380,2011-01-11T04:30:00,04:30,04:52,08:59,09:21,2011-01-11T09:00:00,C176_2_4_3,7,0.955,0.026,0.257,0.03,nd,nd,0.015,0.054,0.004,0.037,-9999.0,0.441,0.008,0.016,0.884,0.006,0.065,nd,nd,0.026,-9999.0,nd,nd,0.15,0.107,-9999.0,-9999.0,-9999.0,0.014,0.087,0.007,nd,-9999.0,1.238,0.087,0.518,1.756,0.605,0.888,1.843,0.564,0.93,0.86,0.14,2.05,0.05,0.95,0.52,nd,nd,nd,0.9,0.64,None
93HG_176,CAR-176,176,2,4,20110111,NASA Goddard Space Flight Center (GSFC; Crystal Thomas),-64.67,10.50,-64.4075,10.2972,2011,1,11,1380,2011-01-11T04:30:00,04:30,04:52,08:59,09:21,2011-01-11T09:00:00,C176_2_4_5,15,0.983,0.041,0.263,0.03,nd,nd,0.016,0.055,0.005,0.032,-9999.0,0.45,0.012,0.016,0.957,0.007,0.019,nd,nd,0.035,0.006,nd,nd,0.151,0.112,-9999.0,-9999.0,-9999.0,0.016,0.085,0.006,nd,-9999.0,1.288,0.083,0.533,1.821,0.616,0.92,1.904,0.595,0.93,0.87,0.13,2.09,0.04,0.96,0.52,nd,nd,nd,0.89,0.69,None
93HG_176,CAR-176,176,2,4,20110111,NASA Goddard Space Flight Center (GSFC; Crystal Thomas),-64.67,10.50,-64.4075,10.2972,2011,1,11,1380,2011-01-11T04:30:00,04:30,04:52,08:59,09:21,2011-01-11T09:00:00,C176_2_4_7,25,7.712,0.096,2.147,0.139,nd,nd,0.033,0.067,0.006,0.14,-9999.0,2.72,0.019,0.01,7.021,0.046,0.645,nd,nd,0.037,0.059,nd,nd,0.858,1.289,-9999.0,-9999.0,0.01,0.185,1.201,-9999.0,nd,-9999.0,9.955,0.295,2.839,12.794,3.134,5.377,13.089,2.951,0.7,0.91,0.09,3.18,0.02,0.98,0.59,nd,nd,nd,8.23,5.29,None
93HG_176,CAR-176,176,2,4,20110111,NASA Goddard Space Flight Center (GSFC; Crystal Thomas),-64.67,10.50,-64.4075,10.2972,2011,1,11,1380,2011-01-11T04:30:00,04:30,04:52,08:59,09:21,2011-01-11T09:00:00,C176_2_4_8,25,5.968,0.078,1.579,0.109,nd,nd,0.026,0.053,0.011,0.117,-9999.0,2.322,0.025,0.008,5.556,0.044,0.368,nd,nd,0.032,0.046,nd,nd,0.587,0.992,-9999.0,-9999.0,0.009,0.173,0.989,-9999.0,nd,-9999.0,7.624,0.245,2.426,10.05,2.671,4.328,10.295,2.523,0.73,0.91,0.09,2.85,0.02,0.98,0.58,nd,nd,nd,-9999.0,-9999.0,None
93HG_176,CAR-176,176,2,4,20110111,NASA Goddard Space Flight Center (GSFC; Crystal Thomas),-64.67,10.50,-64.4075,10.2972,2011,1,11,1380,2011-01-11T04:30:00,04:30,04:52,08:59,09:21,2011-01-11T09:00:00,C176_2_4_9,35,0.189,0.09,0.041,0.014,nd,nd,0.007,0.023,0.003,0.004,-9999.0,0.033,-9999.0,0.003,0.149,0.037,0.003,nd,nd,0.019,0.071,nd,nd,0.02,0.021,-9999.0,-9999.0,-9999.0,0.01,0.041,-9999.0,nd,-9999.0,0.32,0.024,0.063,0.383,0.087,0.218,0.407,0.159,1.15,0.72,0.28,3.68,0.06,0.94,0.46,nd,nd,nd,0.24,0.58,None
93HG_176,CAR-176,176,2,4,20110111,NASA Goddard Space Flight Center (GSFC; Crystal Thomas),-64.67,10.50,-64.4075,10.2972,2011,1,11,1380,2011-01-11T04:30:00,04:30,04:52,08:59,09:21,2011-01-11T09:00:00,C176_2_4_10,55,0.188,0.112,0.051,0.017,nd,nd,0.01,0.038,0.003,0.004,-9999.0,0.032,-9999.0,0.005,0.146,0.042,-9999.0,nd,nd,0.022,0.09,nd,nd,0.022,0.029,-9999.0,-9999.0,-9999.0,0.011,0.034,-9999.0,nd,-9999.0,0.35,0.029,0.08,0.43,0.109,0.272,0.459,0.2,1.45,0.73,0.27,3.21,0.06,0.94,0.41,nd,nd,nd,0.19,0.53,None
93HG_176,CAR-176,176,2,4,20110111,NASA Goddard Space Flight Center (GSFC; Crystal Thomas),-64.67,10.50,-64.4075,10.2972,2011,1,11,1380,2011-01-11T04:30:00,04:30,04:52,08:59,09:21,2011-01-11T09:00:00,C176_2_4_11,75,0.075,0.047,0.027,0.007,nd,nd,0.006,0.021,-9999.0,0.002,-9999.0,0.016,-9999.0,0.002,0.062,0.013,-9999.0,nd,nd,0.01,0.037,nd,nd,0.011,0.016,-9999.0,-9999.0,-9999.0,0.005,0.009,-9999.0,nd,-9999.0,0.149,0.011,0.043,0.192,0.054,0.128,0.203,0.092,1.71,0.8,0.2,2.76,0.05,0.95,0.37,nd,nd,nd,0.13,0.28,None
93HG_176,CAR-176,176,2,4,20110111,NASA Goddard Space Flight Center (GSFC; Crystal Thomas),-64.67,10.50,-64.4075,10.2972,2011,1,11,1380,2011-01-11T04:30:00,04:30,04:52,08:59,09:21,2011-01-11T09:00:00,C176_2_4_12,100,0.029,0.01,0.009,0.002,nd,nd,0.004,0.006,-9999.0,0.001,-9999.0,0.009,-9999.0,-9999.0,0.027,0.002,-9999.0,nd,nd,0.003,0.007,nd,nd,0.003,0.006,-9999.0,-9999.0,-9999.0,0.003,0.004,-9999.0,nd,-9999.0,0.048,0.003,0.019,0.067,0.022,0.041,0.07,0.029,1.41,0.86,0.14,2.18,0.04,0.96,0.41,nd,nd,nd,0.05,0.1,None
93HG_177,CAR-177,177,1,4,20110208,NASA Goddard Space Flight Center (GSFC; Crystal Thomas),-64.67,10.50,-64.399,10.3017,2011,2,8,1380,2011-02-08T04:30:00,04:30,04:46,08:59,09:15,2011-02-08T09:00:00,C177_1_4_1,1,2.499,0.026,0.576,0.065,nd,nd,0.009,0.047,0.007,0.078,0.005,1.135,0.022,0.006,2.257,-9999.0,0.241,nd,nd,0.026,-9999.0,nd,nd,0.414,0.162,-9999.0,0.004,0.004,0.051,0.261,0.01,nd,-9999.0,3.1,0.161,1.213,4.313,1.374,1.976,4.474,1.252,0.79,0.88,0.12,2.26,0.04,0.96,0.56,nd,nd,nd,2.76,1.28,None
