Cruise,Cruise_ID,Day,Month,Year,Date,Latitude,Longitude,Analyst,Mesh_Size,TOTAL_DENSITY,BIOMASS,ASH,COPEPODS,CALANOIDS,CYCLOPOIDA,HAPARCTICOIDA,POECILOSTOMATOIDA,L_FISH,H_FISH,CHAETOGNATHA,CLADOCEROS,OSTRACODA,FORAMINIFERA,AMPHIPODS,ISOPODS,EUPHAUSIIDS,MISYDACEA,SERGESTID,L_CRUSTACEA,N_COPEPOD,C_COPEPOD,N_CIRRIPEDIA,C_CIRRIPEDIA,L_DECAPODA,L_STOMATOPODA,L_EUPHAUSIID,L_SERGESTID,POLICHAETES,L_CYPHONAUTES,MEDUSA,SIPHONOPHORES,CTENOPHORES,L_ECHINODERMS,PTEROPODS,HETEROPODS,GASTROPODS,L_CEPHALOPODA,L_BIVALVE,L_GASTROPOD,PROTOZOAN,RADIOLARIAN,APPENDICULARIANS,SALPS,DOLIOLIDS,BIVALVES,H_CRUSTACEA,L_ANFIOXUS,LUCIFER,JUV_GASTROPOD
71,CAR-071,9,10,2001,2001-10-09,10.5,-64.664,Javier Gutierrez,200,1112.64,26.8331,6.84278,741.76,nd,nd,nd,nd,4.27938,19.9705,21.3969,98.4258,32.8086,2.85292,1.42646,nd,1.42646,0,nd,0,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,15.6911,0,0,0,7.1323,0,nd,0,0,nd,39.9409,0,91.2935,8.55877,0,0,0,nd,2.85292,nd
71,CAR-071,9,10,2001,2001-10-09,10.5,-64.664,Javier Gutierrez,500,212.942,15.9475,3.30931,160.22,nd,nd,nd,nd,1.3694,6.39054,7.75995,3.87997,1.59764,3.42351,0.456467,0,0,0.684701,0.2282337357990728,3.19527,nd,nd,nd,nd,nd,0,nd,nd,1.14117,0,2.51057,1.14117,0.228234,0,0,0,0,0,0,0,7.53171,0,9.35758,1.82587,0,0,0,0,0,0
72,CAR-072,6,11,2001,2001-11-06,10.498,-64.666,Javier Gutierrez,500,13.4266,2.33661,0.0724179,5.61766,nd,nd,nd,nd,0.498019,0.278891,1.29485,0.0199208,0.338653,1.19525,0.199208,0,0.199208,0,0.01992076966610074,1.17533,nd,nd,nd,nd,nd,0.0398415,nd,nd,0.0199208,0,0.139445,0.0199208,0.756989,0,0.577702,0,0,0,0,0,0,0,0.51794,0.51794,0,0,0,0,0,0
72,CAR-072,6,11,2001,2001-11-06,10.498,-64.666,Javier Gutierrez,200,282.303,7.42849,0.639314,197.284,nd,nd,nd,nd,0,12.2128,7.51556,0,4.2275,0.469723,0,nd,0.469723,0,nd,0,nd,nd,nd,nd,nd,nd,nd,nd,0.939445,nd,2.34861,0,1.40917,0.469723,0.469723,0,nd,0,0,nd,34.7595,0,18.7889,0,0,0,0,nd,0,nd
73,CAR-073,11,12,2001,2001-12-11,10.501,-64.668,Javier Gutierrez,200,572.647,5.59624,0.142299,440.181,nd,nd,nd,nd,8.22768,25.5058,18.1009,0.822768,32.9107,3.29107,0,nd,0,0,nd,6.58215,nd,nd,nd,nd,nd,nd,nd,nd,4.11384,nd,0,0,3.29107,0,0,0,nd,0,0,nd,0,0,24.6831,4.93661,0,0,0,nd,0,nd
73,CAR-073,11,12,2001,2001-12-11,10.501,-64.668,Javier Gutierrez,500,8.78655,0.714084,0.182402,4.96766,nd,nd,nd,nd,0.0620957,0.683053,0.636481,0,0.263907,0.294955,0.248383,0,0.170763,0.0776197,0,0.326003,nd,nd,nd,nd,nd,0.0155239,nd,nd,0.0465718,0,0.0776197,0.201811,0.0155239,0,0.0931436,0,0,0,0,0,0.0620957,0,0.217335,0.0310479,0,0.0310479,0.263907,0,0,0
74,CAR-074,10,1,2002,2002-01-10,10.498,-64.665,Javier Gutierrez,200,499.383,10.24,0.51,329.141,nd,nd,nd,nd,0,29.1849,3.24277,81.07,1.62138,1.62138,0,nd,0,0,nd,0,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,1.62138,0,3.24277,0,1.62,0,nd,0,0,nd,3.24277,0,3.24277,37.2918,0,1.62,1.62,nd,0,nd
74,CAR-074,10,1,2002,2002-01-10,10.498,-64.665,Javier Gutierrez,500,104.94,4.93,0.18,31.63,nd,nd,nd,nd,0.51,1.52,2.23,45.88,1.01,0.74,0.37,nd,0,0.17,0,0.98,nd,nd,nd,nd,nd,0,nd,nd,0.03,nd,0.64,0.14,0.41,0,0.7,0,nd,0,0,nd,0.2,0,0.07,18,0,0.03,0.3,0,0.41,0
75,CAR-075,14,2,2002,2002-02-14,10.498,-64.669,Javier Gutierrez,200,612.358,12.92,2.56,508.362,nd,nd,nd,nd,0,18.1558,14.8548,8.25261,18.1558,26.41,0,nd,0,0,nd,3.3,nd,nd,nd,nd,nd,nd,nd,nd,1.65,nd,0,0,1.65523,0,1.65523,0,nd,0,0,nd,0,0,4.95157,1.65523,0,0,3.3,nd,0,nd
75,CAR-075,14,2,2002,2002-02-14,10.498,-64.669,Javier Gutierrez,500,nd,nd,nd,0,nd,nd,nd,nd,0,0,0,0,0,0,0,nd,0,0,0,0,nd,nd,nd,nd,nd,0,nd,nd,0,nd,0,0,0,0,0,0,nd,0,0,nd,0,0,0,0,0,0,0,0,0,0
76,CAR-076,12,3,2002,2002-03-12,10.497,-64.67,Javier Gutierrez,500,29.04,5.47,0.77,18.86,nd,nd,nd,nd,0,0.68,0.49,0,0.37,0,0.18,nd,0,0,0,0.8,nd,nd,nd,nd,nd,0,nd,nd,0,nd,1.6,0,0.12,0,0.06,0,nd,0,0,nd,0.06,0,0,2.15,0,0.06,0,0,0.43,0
76,CAR-076,12,3,2002,2002-03-12,10.497,-64.67,Javier Gutierrez,200,379.342,10.55,1.78,321.592,nd,nd,nd,nd,0,2.26473,6.79419,1.13237,1.13237,0,1.13237,nd,0,0,nd,11.3237,nd,nd,nd,nd,nd,nd,nd,nd,2.26473,nd,13.5884,1.13237,2.26473,0,2.26473,0,nd,0,0,nd,0,0,5.66183,5.66183,0,0,0,nd,1.13237,nd
77,CAR-077,2,4,2002,2002-04-02,10.496,-64.669,Javier Gutierrez,500,6.62,8.31,2.15,21.1,nd,nd,nd,nd,0,0.94,1.16,0.83,0.06,1.61,0.22,nd,0,0.06,0,0.72,nd,nd,nd,nd,nd,0,nd,nd,0.06,nd,1.05,0.55,0.22,0,0.11,0,nd,0,0,nd,0,0,0.17,0.28,0,0,0,0,0.06,0
77,CAR-077,2,4,2002,2002-04-02,10.496,-64.669,Javier Gutierrez,200,571.588,8.71,1.82,466.09,nd,nd,nd,nd,0,12.29,4.1,35.8528,3.07,18.4386,1.02,nd,0,0,nd,6.14622,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,4.1,1.02,0,0,2.05,0,nd,0,0,nd,0,0,13.32,3.07,0,1.02,0,nd,0,nd
78,CAR-078,7,5,2002,2002-05-07,10.5,-64.667,Javier Gutierrez,500,96.24,1.31,0.09,4.57,nd,nd,nd,nd,0.03,0.03,0.26,0.08,0.34,0.18,0.11,nd,0,0,0,0.26,nd,nd,nd,nd,nd,0.03,nd,nd,0.05,nd,0.08,0.03,0.3,0.03,0,0,nd,0,0,nd,0,0,0.24,0.24,0,0,0,0,0,0
78,CAR-078,7,5,2002,2002-05-07,10.5,-64.667,Javier Gutierrez,200,246.677,4.5,0.43,219.71,nd,nd,nd,nd,0,3.99,0.332894,3.33,3,1.66447,0.33,nd,0,0,nd,0.33,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,2.33,0.67,1,0,0,0.67,nd,0,0,nd,1,0,6.99,1.33,0,0,0,nd,0,nd
79,CAR-079,12,6,2002,2002-06-12,10.499,-64.665,Javier Gutierrez,200,312.87,10.63,1.07,285.137,nd,nd,nd,nd,1.14,4.94,4.17644,0.76,4.56,3.79676,1.14,nd,0,0,nd,1.14,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,0,0,0,0,0,0,nd,0,0,nd,2.28,0,3.42,0.38,0,0,0,nd,0,nd
79,CAR-079,12,6,2002,2002-06-12,10.499,-64.665,Javier Gutierrez,500,16.16,4.54,0.35,70.6,nd,nd,nd,nd,1.26,0.39,6.81,0.29,3.01,1.56,0.68,nd,0,0,0,2.14,nd,nd,nd,nd,nd,0,nd,nd,0,nd,1.46,0.68,1.26,0,0.19,0,nd,0,0,nd,0.1,0,3.99,1.26,0,0,0,0,0.49,0
80,CAR-080,9,7,2002,2002-07-09,10.5,-64.67,Javier Gutierrez,200,97.2282,1.4,0.45,77.9889,nd,nd,nd,nd,0,0.14,0.137344,14.01,2.61,0.411913,0,nd,0,0,nd,1.24,nd,nd,nd,nd,nd,nd,nd,nd,0,nd,0,0.14,0,0,0.27,0,nd,0,0,nd,0,0,0.14,0,0,0.14,0,nd,0,nd
80,CAR-080,9,7,2002,2002-07-09,10.5,-64.67,Javier Gutierrez,500,60,0.88,0.13,10.11,nd,nd,nd,nd,0.05,0.03,0.37,3.59,0.09,0.35,0.02,nd,0,0,0,1.15,nd,nd,nd,nd,nd,0,nd,nd,0,nd,0,0.05,0,0,0.03,0,nd,0,0,nd,0,0,0,0.03,0,0,0,0,0.19,0
81,CAR-081,6,8,2002,2002-08-06,10.501,-64.664,Javier Gutierrez,200,1074.94,1.79,0.36,921.72,nd,nd,nd,nd,1.6,35.3,3.21,0,8.02,12.03,0.8,nd,0,7.22,nd,0,nd,nd,nd,nd,nd,nd,nd,nd,0.8,nd,24.87,2.41,4.01,0,13.64,0,nd,0,0,nd,2.41,0,35.3,1.6,0,0,0,nd,0,nd
81,CAR-081,6,8,2002,2002-08-06,10.501,-64.664,Javier Gutierrez,500,142.88,1.28,0.31,34.44,nd,nd,nd,nd,0.34,8.82,2.88,0,0.17,2.55,1.87,nd,0,2.04,0,0.68,nd,nd,nd,nd,nd,0,nd,nd,0,nd,2.04,0.17,1.7,0,0.51,0,nd,0,0,nd,0.17,0,1.19,0.85,0,0,0,0,0,0
