"","CruiseID","Date","MLD2015","MLD2019","x0.1","x1","x10","X21degC","X22degC"
"1","93HG_001",1995-11-08,NA,24.138,NA,NA,NA,130,118
"2","93HG_002",1995-12-13,NA,18.103,NA,NA,NA,114,94
"3","93HG_003",1996-01-12,36,10.057,NA,NA,NA,102,62
"4","93HG_004",1996-02-13,28,8.046,NA,NA,NA,94,66
"5","93HG_005",1996-03-13,28,10.057,NA,NA,NA,48,24
"6","93HG_006",1996-04-16,32,7.04,NA,NA,NA,48,26
"7","93HG_007",1996-05-09,12,8.046,NA,NA,NA,30,8
"8","93HG_008",1996-06-12,21,4.023,NA,NA,NA,81,39
"9","93HG_009",1996-07-10,14,4.023,NA,NA,NA,108,93
"10","93HG_010",1996-08-06,22,4.023,NA,NA,NA,86,48
"11","93HG_011",1996-09-10,9,9.01,NA,NA,NA,125,89
"12","93HG_012",1996-10-09,18,6.008,NA,NA,NA,108,98
"13","93HG_013",1996-11-10,14,3.002,NA,NA,NA,102,73
"14","93HG_014",1996-12-11,27,26.093,NA,NA,NA,114,92
"15","93HG_015",1997-01-07,62,11.11,NA,NA,NA,63,56
"16","93HG_016",1997-02-13,34,11.022,NA,NA,NA,46,34
"17","93HG_017",1997-03-13,31,6.086,NA,NA,NA,18,5
"18","93HG_018",1997-04-15,27,7.935,NA,NA,NA,31,21
"19","93HG_019",1997-05-10,14,6.986,NA,NA,NA,56,25
"20","93HG_020",1997-06-17,13,13.204,NA,NA,NA,112,71
"21","93HG_021",1997-07-08,9,7.039,NA,NA,NA,83,41
"22","93HG_022",1997-08-17,17,1.112,NA,NA,NA,48,16
"23","93HG_023",1997-09-17,19,3.996,NA,NA,NA,113,83
"24","93HG_024",1997-10-14,11,3.007,NA,NA,NA,123,111
"25","93HG_025",1997-11-13,17,15.064,59,48.5,23,68,57
"26","93HG_026",1997-12-17,13,5.12,59,34,13.5,45,27
"27","93HG_027",1998-01-14,22,7.12,46.5,33,14,90,47
"28","93HG_028",1998-02-11,35,22.123,NA,NA,21,90,46
